town,area,price
Hudson Yards,222,9269000
Midtown East,132,2402000
Financial District,217,4213000
Inwood,134,828000
Midtown East,150,2606000
Carnegie Hill,149,3783000
Kips Bay,257,5252000
Gramercy Park,241,3870000
Carnegie Hill,214,5934000
Hudson Yards,349,11682000
Lower East Side,44,678000
Battery Park City,132,2264000
Chinatown,169,2264000
Upper West Side,259,6334000
West Village,138,4815000
Washington Heights,108,812000
Stuyvesant Town,88,854000
Two Bridges,209,2532000
Upper West Side,140,2891000
Murray Hill,96,1918000
Nolita,279,8463000
Carnegie Hill,261,7089000
Carnegie Hill,217,8325000
Murray Hill,37,781000
Upper West Side,203,4620000
Battery Park City,198,3943000
Financial District,182,4456000
Little Italy,279,7104000
Nolita,188,3703000
Gramercy Park,246,6145000
Financial District,266,5668000
Chinatown,166,1900000
Stuyvesant Town,124,1938000
Hudson Yards,170,4404000
Little Italy,132,3600000
Midtown East,321,8808000
Chinatown,105,1203000
Chinatown,142,1480000
Two Bridges,119,1538000
SoHo,177,6370000
Inwood,107,653000
Little Italy,147,3556000
SoHo,227,6629000
Little Italy,193,4681000
Little Italy,186,4144000
Battery Park City,141,3096000
Murray Hill,165,3136000
Tribeca,314,9429000
Kips Bay,180,3332000
Stuyvesant Town,106,1241000
Kips Bay,162,3830000
Hudson Yards,288,8280000
Chinatown,114,1078000
Gramercy Park,267,5475000
Washington Heights,148,1157000
Murray Hill,96,2241000
East Harlem,105,908000
Harlem,125,1343000
Morningside Heights,149,1770000
Murray Hill,183,2586000
Stuyvesant Town,118,1565000
Washington Heights,93,595000
Washington Heights,136,1274000
Upper West Side,79,1692000
Gramercy Park,307,4975000
East Harlem,118,1085000
Nolita,134,2786000
Harlem,217,1946000
Washington Heights,182,1690000
Morningside Heights,104,991000
East Harlem,88,1170000
Midtown East,178,4629000
Chinatown,111,1091000
Tribeca,140,4628000
Chinatown,86,999000
Kips Bay,125,2715000
Financial District,158,3045000
Midtown East,283,7571000
Hudson Yards,409,13561000
Chelsea,203,4128000
West Village,236,6578000
Washington Heights,169,1330000
Nolita,125,4484000
Chelsea,157,3574000
Hell's Kitchen,259,5327000
East Harlem,128,937000
Two Bridges,148,1769000
Chelsea,112,2215000
Greenwich Village,276,6632000
Hudson Yards,250,9224000
Two Bridges,107,1226000
Washington Heights,146,1041000
Harlem,221,1977000
Gramercy Park,193,4499000
Gramercy Park,154,3525000
Chinatown,156,1666000
Murray Hill,140,3282000
Gramercy Park,124,3478000
Upper East Side,104,2776000
Chinatown,104,1447000
SoHo,368,9285000
Midtown East,184,3416000
Two Bridges,72,981000
Lower East Side,76,1060000
Hudson Yards,267,12312000
Greenwich Village,217,6330000
Little Italy,192,4336000
Carnegie Hill,186,4048000
Stuyvesant Town,138,2605000
West Village,115,3816000
Tribeca,295,11315000
Hudson Yards,325,6843000
SoHo,342,7998000
Greenwich Village,166,4770000
Upper East Side,540,15539000
Gramercy Park,120,2222000
Chinatown,167,1686000
Midtown West,200,5776000
Morningside Heights,116,1322000
Hamilton Heights,186,1643000
Murray Hill,151,2731000
Upper West Side,295,4961000
SoHo,262,9552000
Greenwich Village,249,5295000
Kips Bay,231,3407000
Flatiron,227,5617000
Harlem,194,1210000
Tribeca,354,12381000
Midtown West,48,1395000
Flatiron,229,3979000
East Harlem,80,761000
Upper East Side,330,7933000
Lower East Side,279,4032000
Stuyvesant Town,86,1249000
Murray Hill,188,4209000
Kips Bay,153,3441000
Murray Hill,131,2345000
Greenwich Village,362,7885000
Two Bridges,63,881000
Nolita,190,5982000
Two Bridges,214,2620000
Gramercy Park,359,8520000
Greenwich Village,229,4029000
Carnegie Hill,340,9910000
Lower East Side,96,1468000
Upper East Side,592,17189000
Nolita,76,1997000
Hudson Yards,313,12352000
Midtown West,177,3165000
Midtown East,299,5230000
Kips Bay,207,3839000
Two Bridges,154,2303000
Hell's Kitchen,127,1637000
Washington Heights,125,1269000
Morningside Heights,101,1582000
Morningside Heights,139,1721000
Two Bridges,189,2637000
Tribeca,325,12879000
East Harlem,141,1735000
Kips Bay,159,2825000
Gramercy Park,187,4205000
Greenwich Village,266,5887000
Hamilton Heights,143,1227000
Murray Hill,77,2032000
Lower East Side,165,3035000
Gramercy Park,372,6793000
Battery Park City,161,2356000
West Village,200,4160000
East Harlem,198,1913000
Harlem,151,1960000
Financial District,266,6260000
Stuyvesant Town,188,2851000
Battery Park City,254,4897000
Gramercy Park,225,7892000
Chelsea,205,4925000
Upper West Side,250,5071000
Nolita,160,5355000
Stuyvesant Town,79,959000
Upper West Side,473,6886000
Battery Park City,120,2914000
West Village,216,7398000
Upper East Side,214,5614000
Chelsea,59,1262000
Two Bridges,108,2007000
Washington Heights,33,218000
Upper East Side,201,4449000
Battery Park City,71,1765000
Hell's Kitchen,108,2277000
Morningside Heights,198,2608000
Midtown West,300,4753000
Gramercy Park,232,5059000
West Village,153,4196000
Inwood,128,798000
SoHo,200,4780000
Upper West Side,444,8889000
Chinatown,98,1019000
Upper East Side,689,18698000
Chinatown,128,1300000
Morningside Heights,127,1194000
Midtown East,193,2965000
Hamilton Heights,130,1050000
Harlem,188,2563000
Stuyvesant Town,103,1264000
Upper East Side,375,13637000
Lower East Side,155,1544000
Midtown West,143,3174000
East Harlem,169,834000
Two Bridges,63,978000
West Village,217,6518000
Little Italy,116,2648000
Hudson Yards,363,11627000
Greenwich Village,183,4874000
Hamilton Heights,146,833000
Harlem,186,2255000
Hudson Yards,103,4337000
Battery Park City,272,4518000
Little Italy,197,3348000
Morningside Heights,192,2154000
Upper East Side,404,9675000
West Village,242,8437000
SoHo,332,7452000
Midtown East,37,973000
Two Bridges,82,1061000
Lower East Side,209,3899000
Washington Heights,124,1037000
Lower East Side,183,2226000
Carnegie Hill,262,5985000
Flatiron,173,4461000
Morningside Heights,141,1719000
Battery Park City,178,3310000
Little Italy,174,3298000
Carnegie Hill,143,2820000
Harlem,149,1560000
West Village,204,6372000
Morningside Heights,122,1616000
Hell's Kitchen,37,812000
Battery Park City,128,2831000
East Harlem,70,672000
West Village,117,3022000
Upper East Side,322,11521000
Greenwich Village,275,7967000
Chinatown,164,2276000
Midtown West,351,5795000
Hamilton Heights,122,1139000
West Village,63,1972000
Murray Hill,235,4198000
East Harlem,155,978000
Hell's Kitchen,117,1235000
Stuyvesant Town,144,2593000
Two Bridges,99,573000
Kips Bay,100,2288000
Tribeca,391,14313000
Midtown East,221,4772000
Harlem,271,2718000
Greenwich Village,91,2711000
Tribeca,183,7147000
Stuyvesant Town,205,3156000
Financial District,155,3623000
Washington Heights,133,802000
SoHo,278,10147000
Gramercy Park,214,4830000
Flatiron,245,6948000
Midtown West,270,4309000
Chelsea,45,1047000
Tribeca,332,13354000
Midtown West,249,5242000
Midtown West,232,5928000
Battery Park City,276,7217000
Washington Heights,77,539000
Two Bridges,100,1484000
Midtown West,203,3490000
Murray Hill,201,4799000
Two Bridges,216,2761000
Upper East Side,173,4693000
Kips Bay,141,2652000
Inwood,172,1051000
Upper West Side,394,9276000
Financial District,218,4961000
West Village,46,1458000
Chelsea,220,6047000
West Village,292,11481000
Upper West Side,395,9381000
Greenwich Village,94,3388000
Washington Heights,78,859000
Harlem,140,1818000
Financial District,263,4108000
Hudson Yards,283,6516000
Chinatown,155,1667000
Greenwich Village,243,8193000
Morningside Heights,121,1472000
Nolita,208,5076000
SoHo,105,3984000
Washington Heights,204,880000
Midtown West,193,3899000
Upper East Side,535,16881000
Gramercy Park,150,2429000
Two Bridges,112,1306000
Little Italy,142,3004000
Chinatown,117,1615000
Battery Park City,136,2946000
Hamilton Heights,71,655000
Inwood,66,457000
Stuyvesant Town,172,2688000
Midtown East,119,3243000
Little Italy,268,4065000
Chelsea,42,1168000
Upper East Side,329,11264000
Two Bridges,152,1999000
Hell's Kitchen,160,3637000
East Harlem,199,1590000
Gramercy Park,133,2816000
Hamilton Heights,65,432000
Harlem,158,1642000
Flatiron,264,7286000
Chelsea,224,4839000
Hamilton Heights,89,639000
Nolita,262,7190000
East Harlem,208,1311000
Midtown East,240,4216000
Chinatown,127,1038000
Hudson Yards,386,16931000
Two Bridges,105,1139000
Upper West Side,308,8858000
Chelsea,187,4798000
Carnegie Hill,228,3770000
Lower East Side,213,3172000
Upper West Side,245,5937000
Nolita,168,4457000
West Village,252,7071000
West Village,211,4864000
SoHo,388,10066000
Murray Hill,268,6738000
Morningside Heights,43,533000
Stuyvesant Town,183,2640000
Two Bridges,160,2044000
Harlem,104,1412000
Washington Heights,144,892000
Carnegie Hill,170,3920000
East Harlem,139,1333000
Hudson Yards,324,6817000
Midtown West,77,1186000
Little Italy,76,1649000
Washington Heights,128,915000
Midtown East,244,5814000
Greenwich Village,239,7498000
East Harlem,98,876000
Kips Bay,138,3279000
Stuyvesant Town,169,2935000
Kips Bay,153,2570000
Washington Heights,138,830000
Greenwich Village,150,4080000
Nolita,237,5724000
Financial District,225,2637000
Hudson Yards,255,7234000
Hell's Kitchen,178,4379000
Midtown West,213,4985000
Morningside Heights,180,2403000
Chelsea,174,4855000
SoHo,209,7625000
SoHo,406,13152000
Kips Bay,171,3103000
Chelsea,110,2529000
Kips Bay,135,2709000
Upper West Side,257,4917000
Washington Heights,169,972000
Kips Bay,124,2537000
Chinatown,150,1592000
Battery Park City,135,2835000
Gramercy Park,240,4411000
SoHo,376,8898000
Two Bridges,76,737000
Kips Bay,243,4897000
Chinatown,124,1590000
Upper East Side,46,1100000
Hudson Yards,236,8546000
Carnegie Hill,209,5980000
SoHo,193,6761000
Upper West Side,231,5999000
SoHo,268,5910000
Gramercy Park,294,6420000
East Harlem,232,1746000
West Village,313,8150000
Nolita,295,10205000
Morningside Heights,83,1351000
Chinatown,197,2266000
Upper West Side,270,7531000
Battery Park City,219,5772000
Battery Park City,151,3862000
Harlem,211,3033000
Flatiron,197,7155000
Battery Park City,99,2690000
Harlem,170,2401000
Chinatown,130,1264000
Upper West Side,557,11677000
Flatiron,193,4122000
Greenwich Village,172,4856000
Battery Park City,138,3337000
Financial District,330,9095000
Greenwich Village,175,4127000
Greenwich Village,233,5009000
Hudson Yards,65,2518000
Little Italy,143,3129000
Flatiron,163,5458000
Hell's Kitchen,197,4151000
Stuyvesant Town,162,2314000
Upper East Side,587,16123000
West Village,246,6972000
Harlem,171,2091000
Two Bridges,225,3522000
SoHo,398,11857000
Upper West Side,333,7533000
Flatiron,324,9050000
Hell's Kitchen,183,4061000
Upper West Side,247,6409000
Hamilton Heights,131,836000
Flatiron,129,2788000
Greenwich Village,173,5269000
Inwood,155,745000
Greenwich Village,168,4831000
East Harlem,127,1553000
Carnegie Hill,282,7812000
Hudson Yards,431,13959000
Two Bridges,172,2251000
East Harlem,48,421000
Washington Heights,40,339000
Tribeca,309,12227000
Gramercy Park,177,3153000
East Harlem,75,780000
Hell's Kitchen,158,4194000
East Harlem,186,1480000
Harlem,128,1043000
Lower East Side,59,1212000
Nolita,163,4136000
Morningside Heights,78,996000
Financial District,372,7622000
Flatiron,227,6430000
Hudson Yards,206,7130000
West Village,274,8595000
Upper West Side,265,4976000
East Harlem,33,374000
Morningside Heights,110,1380000
Chinatown,99,1193000
Upper West Side,334,7309000
Upper East Side,596,18519000
Washington Heights,77,447000
Carnegie Hill,465,12883000
Little Italy,50,1106000
Gramercy Park,340,7664000
Inwood,107,597000
West Village,220,6255000
Upper West Side,380,6273000
Inwood,87,566000
East Harlem,232,1901000
Two Bridges,155,2267000
Midtown East,316,7317000
Chinatown,116,1479000
Midtown East,305,8079000
Flatiron,100,2632000
Stuyvesant Town,42,455000
Washington Heights,127,723000
Chinatown,155,1552000
Hamilton Heights,97,883000
Battery Park City,155,2978000
Morningside Heights,204,2283000
Greenwich Village,256,7652000
Nolita,225,8003000
Kips Bay,119,1913000
Midtown West,214,3832000
Midtown East,322,10085000
Murray Hill,267,5182000
Upper West Side,227,5819000
Washington Heights,53,230000
Inwood,71,388000
Inwood,108,729000
Gramercy Park,256,5814000
SoHo,445,15169000
Midtown East,160,4434000
Nolita,242,8123000
Chinatown,86,967000
Chinatown,84,953000
West Village,91,2891000
Stuyvesant Town,94,1137000
Inwood,129,627000
Chelsea,169,3660000
Greenwich Village,250,4478000
Battery Park City,287,5783000
Upper East Side,510,15475000
SoHo,217,7089000
Two Bridges,147,1519000
Nolita,325,6701000
Flatiron,46,912000
Carnegie Hill,325,5852000
Little Italy,191,4692000
Morningside Heights,146,1461000
Upper West Side,557,13189000
Lower East Side,114,2161000
Midtown West,131,3371000
Little Italy,56,1471000
Lower East Side,191,1929000
West Village,232,5353000
Murray Hill,138,2770000
Midtown East,325,11509000
Hell's Kitchen,279,4159000
Battery Park City,154,4572000
Murray Hill,134,2196000
East Harlem,105,963000
Little Italy,189,5522000
Two Bridges,163,2596000
Upper West Side,467,10959000
Tribeca,516,10138000
Financial District,372,10102000
Nolita,91,1834000
Chinatown,104,1577000
Lower East Side,225,4281000
East Harlem,74,741000
Greenwich Village,340,6572000
Harlem,191,2183000
SoHo,195,5833000
Hudson Yards,381,12981000
Tribeca,527,14297000
Chinatown,122,1572000
Nolita,203,5905000
East Harlem,160,1911000
West Village,342,8634000
Chelsea,322,9485000
Nolita,137,4523000
Gramercy Park,238,4300000
Nolita,213,6608000
Financial District,211,3805000
Murray Hill,198,3297000
Financial District,201,4691000
Murray Hill,159,2302000
West Village,249,7517000
Nolita,186,5177000
West Village,88,3159000
Gramercy Park,188,4080000
Hamilton Heights,122,1456000
Flatiron,124,3580000
Flatiron,155,3137000
Washington Heights,105,647000
Little Italy,108,2579000
Midtown East,225,5584000
Chelsea,197,5845000
SoHo,227,10067000
Harlem,37,486000
Hell's Kitchen,173,3325000
Kips Bay,62,884000
Tribeca,410,12505000
Flatiron,148,4321000
Little Italy,240,6270000
Financial District,147,3386000
Tribeca,101,2781000
Greenwich Village,249,6549000
Midtown East,327,6153000
Midtown West,113,2507000
SoHo,193,7383000
Murray Hill,68,1045000
Little Italy,37,1093000
Upper East Side,553,15065000
Lower East Side,279,5140000
Upper West Side,156,2967000
Morningside Heights,160,1993000
Murray Hill,150,3170000
Murray Hill,140,2798000
Greenwich Village,89,2830000
Nolita,229,7121000
Hamilton Heights,68,522000
Tribeca,462,13268000
Midtown East,108,3117000
Greenwich Village,148,3671000
Stuyvesant Town,147,2411000
Hell's Kitchen,90,1820000
Greenwich Village,168,4424000
Flatiron,164,5112000
Chinatown,100,970000
Murray Hill,46,1105000
Little Italy,173,5076000
Stuyvesant Town,173,2928000
Murray Hill,208,5257000
Financial District,208,4944000
Two Bridges,94,1128000
Inwood,109,768000
Hudson Yards,204,5264000
Greenwich Village,189,4827000
Hell's Kitchen,228,5134000
Two Bridges,208,2989000
Battery Park City,139,2948000
East Harlem,33,197000
Upper West Side,182,4991000
Murray Hill,72,1558000
Flatiron,66,986000
Carnegie Hill,262,7323000
Battery Park City,264,4472000
Morningside Heights,232,3036000
Greenwich Village,143,2968000
Hell's Kitchen,88,1894000
West Village,251,10502000
Harlem,134,1414000
Hamilton Heights,117,894000
Two Bridges,93,1044000
Chinatown,125,1625000
Carnegie Hill,154,3693000
Chelsea,279,7155000
Upper East Side,334,6377000
Hamilton Heights,128,1207000
West Village,338,9586000
Lower East Side,102,1951000
Hamilton Heights,124,923000
Harlem,136,1325000
Tribeca,283,6334000
Hamilton Heights,92,594000
Little Italy,145,3498000
Midtown East,388,12784000
Upper East Side,357,13643000
Hamilton Heights,64,615000
Chelsea,249,6423000
Hudson Yards,217,7737000
SoHo,277,9044000
Hell's Kitchen,159,3213000
Kips Bay,102,2147000
East Harlem,71,612000
Gramercy Park,159,4837000
West Village,236,8175000
Little Italy,97,2821000
Hell's Kitchen,140,2823000
Kips Bay,122,3001000
Chinatown,62,831000
Greenwich Village,295,7389000
Hamilton Heights,124,915000
Hell's Kitchen,217,5151000
Upper West Side,363,10547000
Chinatown,140,1812000
West Village,83,2433000
Tribeca,380,11653000
Flatiron,197,4581000
Kips Bay,147,2786000
Hudson Yards,182,5063000
West Village,60,2176000
Upper East Side,426,10446000
Gramercy Park,208,4264000
SoHo,268,9521000
Inwood,122,766000
West Village,308,10985000
Lower East Side,76,1763000
Hell's Kitchen,164,4259000
Hell's Kitchen,108,1873000
Little Italy,178,5594000
Tribeca,494,18873000
Nolita,171,5984000
Kips Bay,168,3093000
Two Bridges,215,2564000
Hamilton Heights,78,567000
Chinatown,158,1869000
West Village,418,9649000
Harlem,222,2495000
Upper West Side,46,1043000
Flatiron,179,3762000
East Harlem,194,1609000
Flatiron,61,1338000
Upper East Side,370,8838000
Flatiron,357,10100000
West Village,146,4345000
SoHo,204,6561000
Upper East Side,612,16139000
Kips Bay,198,3180000
Hudson Yards,65,1407000
Harlem,130,1371000
Inwood,145,1026000
Flatiron,225,6765000
Harlem,55,708000
Gramercy Park,270,5915000
Murray Hill,107,2340000
Hell's Kitchen,141,3153000
Inwood,97,635000
Upper East Side,520,13335000
Chinatown,87,1329000
Nolita,225,7318000
Stuyvesant Town,149,1936000
Hamilton Heights,147,1547000
Carnegie Hill,137,3405000
Lower East Side,148,2601000
Flatiron,208,6107000
Little Italy,111,2345000
Gramercy Park,269,7243000
Nolita,80,2547000
Financial District,291,3877000
Inwood,60,574000
Little Italy,173,3124000
East Harlem,208,1401000
Morningside Heights,100,1080000
Morningside Heights,220,2383000
Financial District,233,5316000
Chelsea,295,6250000
Chinatown,93,1374000
East Harlem,83,875000
Upper East Side,227,6981000
Flatiron,98,2484000
Nolita,297,10596000
Chinatown,145,1672000
Nolita,301,10119000
Kips Bay,173,2904000
Midtown West,177,4075000
Flatiron,177,3238000
Harlem,102,1230000
Lower East Side,230,3570000
Flatiron,275,8452000
